,SPY,AGG
,close,close
date,,
2019-06-26,-0.000997386160407121,-0.0022453745284714
2019-06-27,0.0035459772093502373,0.0027905302007380506
2019-06-28,0.005145797598627766,-0.0004488330341113622
2019-07-01,0.00907849829351548,-0.0015267175572517555
2019-07-02,0.0026043428262192414,0.0017988846914911427
2019-07-03,0.007995142192085858,0.001616089064464088
2019-07-05,-0.0011378848728247348,-0.004212979562567165
2019-07-08,-0.0054948736849158575,-0.0005401026194977732
2019-07-09,0.0012465467286570941,-0.00027019724398813505
2019-07-10,0.004778088091793142,0.0007207207207207134
2019-07-11,0.0023441947690967524,-0.003691033489377049
2019-07-12,0.00447696368313788,0.0010843046896178432
2019-07-15,0.00033261267254292015,0.0014441736618828749
2019-07-16,-0.003458021612635198,-0.001081568273997302
